Date,Total Unique Flight Tracks,Total Flight Pairs Analyzed,Total Risky CPA Events,Total Duration ≥5 (Seconds),Total Risky CPA Duration (Seconds),Max Consecutive Risky Points,Num Streaks Length ≥ 5,Total Entries into Risky Box,Total Time Points Inside Risky Box,Same Course Risky Points,Crossing Course Risky Points,Opposite Course Risky Points,Mean Total Duration,STD Total Duration,Mean Longest streak Duration,STD Longest Streak Duration,Mean Entries,STD Entries
2025-04-16,257,152,90,200,450,14,5,46,199,,,,,,,,,
2025-04-17,405,212,371,1350,1855,20,25,111,,,,,,,,,,
2025-04-18,404,227,516,2115,2580,30,41,133,,,,,,,,,,
2025-04-19,393,201,713,2865,3565,20,55,165,,,,,,,,,,
2025-04-20,419,241,655,2845,3275,23,51,140,,,,,,,,,,
2025-04-21,434,275,910,3885,4550,26,72,208,,,,,,,,,,
2025-04-22,404,232,684,2615,3420,20,47,186,,,,,,,,,,
2025-04-23,247,127,116,375,580,18,7,38,,,,,,,,,,
2025-04-25,364,239,110,210,550,19,5,62,,,,,,,,,,
2025-04-26,441,293,595,1925,2975,20,37,195,,,,,,,,,,
2025-04-27,189,120,13,0,65,3,0,9,,,,,,,,,,
2025-04-28,313,202,722,2940,3610,26,55,154,,,,,,,,,,
2025-04-29,282,147,278,1170,1390,31,22,57,278,,,,,,,,,
2025-04-30,401,246,566,2115,2830,26,43,159,,,,,,,,,,
2025-05-01,418,251,731,2900,3655,30,51,185,,,,,,,,,,
2025-05-02,445,294,548,2040,2740,21,37,137,,,,,,,,,,
2025-05-03,415,204,160,615,800,30,7,45,,,,,,,,,,
2025-05-04,416,310,982,3795,4910,24,66,267,,,,,,,,,,
2025-05-05,437,328,1134,4530,5670,24,82,293,,,,,,,,,,
2025-05-06,416,248,760,2880,3800,30,56,216,,,,,,,,,,
2025-05-07,362,160,176,635,880,23,13,48,,,,,,,,,,
2025-05-08,245,146,539,2185,2695,21,37,115,,,,,,,,,,
2025-05-09,375,241,781,3240,3905,27,56,173,,,,,,,,,,
2025-05-10,423,280,801,3165,4005,27,57,195,,,,,,,,,,
2025-05-11,417,251,384,1340,1920,25,27,114,,,,,,,,,,
2025-05-12,421,218,268,910,1340,14,22,90,,,,,,,,,,
2025-05-13,400,216,467,1760,2335,28,28,114,,,,,,,,,,
2025-05-14,331,190,559,2260,2795,28,42,127,,,,,,,,,,
2025-05-15,430,289,886,3725,4430,31,71,192,,,,,,,,,,
2025-05-16,420,243,757,2800,3785,35,46,203,,,,,,,,,,
2025-05-17,417,253,184,575,920,16,10,61,184,,,,,,,,,
2025-05-18,371,205,330,1415,1650,21,31,75,,,,,,,,,,
2025-05-19,262,142,30,135,150,8,4,6,30,,,,,,,,,
2025-05-20,327,161,211,945,1055,20,20,45,211,,,,,,,,,
2025-05-21,404,219,352,1235,1760,23,23,95,352,,,,,,,,,
2025-05-22,405,260,481,2060,2405,29,40,112,481,,,,,,,,,
2025-05-23,404,211,74,240,370,18,4,24,74,,,,,,,,,
2025-05-24,393,185,278,1120,1390,27,20,61,278,,,,,,,,,
2025-05-25,319,134,0,0,0,0,0,0,0,,,,,,,,,
2025-05-26,237,65,57,200,285,14,5,17,57,,,,,,,,,
2025-05-27,367,176,469,1970,2345,29,38,101,469,,,,,,,,,
2025-05-28,313,202,722,2940,3610,26,55,154,,,,,,,,,,
2025-05-29,361,203,477,1805,2385,22,34,116,,,,,,,,,,
2025-05-30,368,211,574,2230,2870,23,43,146,574,,,,,,,,,
2025-05-31,360,226,578,2185,2890,26,42,154,,,,,,,,,,
2025-06-01,360,219,389,1055,1945,18,22,155,,,,,,,,,,
2025-06-02,289,177,557,2030,2785,20,42,168,,,,,,,,,,
2025-06-03,271,146,383,1430,1915,21,28,97,,,,,,,,,,
2025-06-04,284,198,490,1550,2450,20,34,178,,,,,,,,,,
2025-06-05,337,217,570,1840,2850,26,39,197,,,,,,,,,,
2025-06-06,330,175,502,1695,2510,21,33,150,502,,,,,,,,,
2025-06-07,370,177,635,2515,3175,28,43,153,,,,,,,,,,
2025-06-08,332,159,415,1795,2075,24,30,82,,,,,,,,,,
2025-06-09,347,148,381,1465,1905,19,29,104,,,,,,,,,,
2025-06-10,351,154,67,265,335,16,5,19,,,,,,,,,,
2025-06-11,348,138,248,1025,1240,26,19,63,,,,,8035,23553,0.341145502,,,
2025-06-12,376,202,644,2370,3220,20,46,186,,,,,,,,,,
2025-06-13,401,242,615,2600,3075,24,49,135,,,,,,,,,,
2025-06-14,415,267,875,3505,4375,25,70,207,,,,,,,,,,
2025-06-15,365,170,765,3140,3825,21,57,174,,,,,,,,,,
2025-06-16,185,77,236,910,1180,40,16,55,236,,,,,,,,,
2025-06-17,372,175,643,2650,3215,22,46,134,,,,,,,,,,
2025-06-18,403,223,942,3845,4710,26,70,231,942,,,,,,,,,
2025-06-21,391,240,258,1155,1290,22,22,57,258,,,,,,,,,
2025-06-22,394,194,678,2815,3390,25,51,146,,,,,,,,,,
2025-06-23,410,224,859,3550,4295,40,63,201,,,,,,,,,,
2025-06-24,357,178,339,1405,1695,19,27,71,,,,,,,,,,
2025-06-25,283,145,355,1375,1775,20,27,88,,,,,,,,,,
2025-06-26,430,281,729,2820,3645,25,57,177,,,,,,,,,,
